Site,Date,BioDataTaxonName,ALGALGROUP,Cells,Cells_Unit,Biovolume,Biovolume_unit
CL-089,6/28/2017,Pennate_Diatom_spp._Live,Diatom,86.58,Cells_per_mL,9973.11,um3_per_mL
CL-089,6/28/2017,Centric_Diatom_spp._Live,Diatom,45.35,Cells_per_mL,11164.17,um3_per_mL
CL-089,6/28/2017,Chlamydomonas_spp.,Green_Algae,12.37,Cells_per_mL,6105.9,um3_per_mL
CL-089,6/28/2017,Chlorella_spp.,Green_Algae,208.2,Cells_per_mL,7187.03,um3_per_mL
CL-089,6/28/2017,Scenedesmus_spp.,Green_Algae,88.64,Cells_per_mL,3362.32,um3_per_mL
CL-089,6/28/2017,Aphanocapsa_spp.,Blue-Green_Algae,383.42,Cells_per_mL,223.65,um3_per_mL
CL-089,6/28/2017,Treubaria_spp.,Green_Algae,4.12,Cells_per_mL,1486.16,um3_per_mL
CL-089,6/28/2017,Chroococcus_spp.,Blue-Green_Algae,296.84,Cells_per_mL,3015.11,um3_per_mL
CL-089,6/28/2017,Kirchneriella_spp.,Green_Algae,78.33,Cells_per_mL,906.23,um3_per_mL
CL-089,6/28/2017,Tetraedron_spp.,Green_Algae,18.55,Cells_per_mL,33.85,um3_per_mL
CL-089,6/28/2017,Pediastrum_spp.,Green_Algae,16.49,Cells_per_mL,386.85,um3_per_mL
CL-089,6/28/2017,Dactylococcopsis_spp.,Blue-Green_Algae,26.8,Cells_per_mL,183.36,um3_per_mL
CW-207A,6/28/2017,Merismopedia_spp.,Blue-Green_Algae,5922.8,Cells_per_mL,9601.85,um3_per_mL
CW-207A,6/28/2017,Pediastrum_spp.,Green_Algae,27.55,Cells_per_mL,1353.73,um3_per_mL
CW-207A,6/28/2017,Tetrastrum_glabrum,Green_Algae,27.55,Cells_per_mL,1488.61,um3_per_mL
CW-207A,6/28/2017,Pennate_Diatom_spp._Live,Diatom,103.3,Cells_per_mL,15118.98,um3_per_mL
CW-207A,6/28/2017,Cryptomonas_spp.,Green_Algae,158.4,Cells_per_mL,22711.58,um3_per_mL
CW-207A,6/28/2017,Trachelomonas_sp.,Euglenoids,41.32,Cells_per_mL,39531.04,um3_per_mL
CW-207A,6/28/2017,Chlamydomonas_spp.,Green_Algae,96.42,Cells_per_mL,17532.05,um3_per_mL
CW-207A,6/28/2017,Cylindrospermopsis_spp.,Blue-green_Algae,3092.26,Cells_per_mL,36093.02,um3_per_mL
CW-207A,6/28/2017,Aphanizomenon_sp.,Blue-green_Algae,151.51,Cells_per_mL,2317.35,um3_per_mL
CW-207A,6/28/2017,Pseudanabaena_spp.,Blue-green_Algae,1880.15,Cells_per_mL,15399.74,um3_per_mL
CW-207A,6/28/2017,Scenedesmus_spp.,Green_Algae,144.63,Cells_per_mL,4667.01,um3_per_mL
CW-207A,6/28/2017,Monoraphidium_spp.,Green_Algae,13.77,Cells_per_mL,614.14,um3_per_mL
CW-207A,6/28/2017,Euastrum_spp.,Green_Algae,6.89,Cells_per_mL,16374.45,um3_per_mL
CW-16F,6/27/2017,Merismopedia_spp.,Blue-Green_Algae,801.01,Cells_per_mL,1843.27,um3_per_mL
CW-16F,6/27/2017,Pediastrum_spp.,Green_Algae,21.46,Cells_per_mL,217.63,um3_per_mL
CW-16F,6/27/2017,Gymnodinium_palustre,Dinoflagellates,1.59,Cells_per_mL,2107.03,um3_per_mL
CW-16F,6/27/2017,Crucigenia_tetrapedia,Green_Algae,25.43,Cells_per_mL,257.88,um3_per_mL
CW-16F,6/27/2017,Pennate_Diatom_spp._Live,Diatom,21.46,Cells_per_mL,4548.03,um3_per_mL
CW-16F,6/27/2017,Centric_Diatom_spp._Live,Diatom,44.5,Cells_per_mL,16690.1,um3_per_mL
CW-16F,6/27/2017,Cryptomonas_spp.,Green_Algae,23.84,Cells_per_mL,4222.96,um3_per_mL
CW-16F,6/27/2017,Trachelomonas_sp.,Euglenoids,0.79,Cells_per_mL,760.21,um3_per_mL
CW-16F,6/27/2017,Chlamydomonas_spp.,Green_Algae,19.07,Cells_per_mL,2640.7,um3_per_mL
CW-16F,6/27/2017,Cylindrospermopsis_spp.,Blue-green_Algae,7.15,Cells_per_mL,46.72,um3_per_mL
CW-16F,6/27/2017,Scenedesmus_spp.,Green_Algae,197.87,Cells_per_mL,11454.89,um3_per_mL
CW-16F,6/27/2017,Monoraphidium_spp.,Green_Algae,0.79,Cells_per_mL,7.92,um3_per_mL
CW-057,6/27/2017,Pennate_Diatom_spp._Live,Diatom,90.7,Cells_per_mL,10364.94,um3_per_mL
CW-057,6/27/2017,Centric_Diatom_spp._Live,Diatom,374.9,Cells_per_mL,92290.47,um3_per_mL
CW-057,6/27/2017,Rhodomonas_spp.,Cryptophytes,36.28,Cells_per_mL,2037.31,um3_per_mL
CW-057,6/27/2017,Trachelomonas_sp.,Euglenoids,6.05,Cells_per_mL,5784.74,um3_per_mL
CW-057,6/27/2017,Chlamydomonas_spp.,Green_Algae,60.47,Cells_per_mL,9163.4,um3_per_mL
CW-057,6/27/2017,Chlorella_spp.,Green_Algae,211.64,Cells_per_mL,7305.63,um3_per_mL
CW-057,6/27/2017,Scenedesmus_spp.,Green_Algae,513.98,Cells_per_mL,19496.24,um3_per_mL
CW-057,6/27/2017,Merismopedia_spp.,Blue-Green_Algae,1257.73,Cells_per_mL,1284.24,um3_per_mL
CW-057,6/27/2017,Chroococcus_spp.,Blue-Green_Algae,1390.76,Cells_per_mL,14126.34,um3_per_mL
CW-057,6/27/2017,Kirchneriella_spp.,Green_Algae,120.94,Cells_per_mL,1399.1,um3_per_mL
CW-057,6/27/2017,Tetraedron_spp.,Green_Algae,18.14,Cells_per_mL,33.1,um3_per_mL
CW-057,6/27/2017,Crucigeniella_spp.,Green_Algae,24.19,Cells_per_mL,160.33,um3_per_mL
CW-057,6/27/2017,Romeria_spp.,Blue-Green_Algae,24.19,Cells_per_mL,74.4,um3_per_mL
CW-057,6/27/2017,Binuclearia_spp.,Green_Algae,495.84,Cells_per_mL,46275.35,um3_per_mL
CW-057,6/27/2017,Dactylococcopsis_spp.,Blue-Green_Algae,36.28,Cells_per_mL,248.24,um3_per_mL
CW-057,8/1/2017,Pleurocapsa_minor,Blue-Green_Algae,808.07,Cells_per_mL,91391.07,um3_per_mL
CW-057,8/1/2017,Pennate_Diatom_spp._Live,Diatom,252.52,Cells_per_mL,28856.93,um3_per_mL
CW-057,8/1/2017,Centric_Diatom_spp._Live,Diatom,2449.47,Cells_per_mL,602992,um3_per_mL
