StationID,ActivityStartDate,ActivityStartTime/Time,Ammonia_units,Ammonia,depth_m,source
CW-057,9/19/2001,2:00:00 PM,mg/L,0.15,0.3,DHEC
CW-237,8/15/2001,9:25:00 AM,mg/L,0.11,0.3,DHEC
CW-017,8/1/2001,10:10:00 AM,mg/L,0.22,0.3,DHEC
CW-237,6/21/2001,8:55:00 AM,mg/L,0.072,0.3,DHEC
CW-145,11/6/2001,10:20:00 AM,mg/L,0.057,0.3,DHEC
CW-231,7/26/2001,11:00:00 AM,mg/L,0.061,0.3,DHEC
CW-236,7/18/2001,11:20:00 AM,mg/L,0.072,0.3,DHEC
CW-250,6/27/2001,9:35:00 AM,mg/L,0.057,0.3,DHEC
CW-041,9/19/2001,12:50:00 PM,mg/L,0.078,0.3,DHEC
CW-206,8/27/2001,9:35:00 AM,mg/L,0.051,0.3,DHEC
CW-238,12/3/2001,12:10:00 PM,mg/L,0.6,0.3,DHEC
CW-225,9/11/2001,10:35:00 AM,mg/L,0.053,0.3,DHEC
CW-079,6/21/2001,9:50:00 AM,mg/L,0.062,0.3,DHEC
CW-014,7/10/2001,11:05:00 AM,mg/L,0.11,0.3,DHEC
RL-01003,9/6/2001,11:40:00 AM,mg/L,0.078,0.3,DHEC
CW-222,10/25/2001,10:20:00 AM,mg/L,0.17,0.3,DHEC
CW-083,5/29/2001,1:55:00 PM,mg/L,0.08,0.3,DHEC
CW-017,7/18/2001,10:35:00 AM,mg/L,0.19,0.3,DHEC
RL-01017,7/26/2001,10:30:00 AM,mg/L,0.071,0.3,DHEC
CW-083,9/25/2001,10:55:00 AM,mg/L,0.3,0.3,DHEC
CW-235,7/18/2001,11:00:00 AM,mg/L,0.057,0.3,DHEC
CW-145,9/25/2001,10:40:00 AM,mg/L,0.19,0.3,DHEC
CW-036,9/25/2001,11:15:00 AM,mg/L,0.09,0.3,DHEC
RL-01007,9/6/2001,10:20:00 AM,mg/L,0.12,0.3,DHEC
CW-072,6/19/2001,1:00:00 PM,mg/L,0.081,0.3,DHEC
CW-222,12/13/2001,9:55:00 AM,mg/L,0.12,0.3,DHEC
CW-145,7/16/2001,10:30:00 AM,mg/L,0.16,0.3,DHEC
CW-080,8/15/2001,9:50:00 AM,mg/L,0.16,0.3,DHEC
CW-233,8/1/2001,11:10:00 AM,mg/L,0.13,0.3,DHEC
CW-036,7/16/2001,11:20:00 AM,mg/L,0.12,0.3,DHEC
CW-235,9/17/2001,11:05:00 AM,mg/L,0.1,0.3,DHEC
CW-080,10/18/2001,10:15:00 AM,mg/L,0.056,0.3,DHEC
RS-01007,7/10/2001,9:40:00 AM,mg/L,0.11,0.3,DHEC
CW-238,6/14/2001,10:45:00 AM,mg/L,0.14,0.3,DHEC
CW-235,8/1/2001,10:35:00 AM,mg/L,0.13,0.3,DHEC
CW-017,9/17/2001,10:30:00 AM,mg/L,0.18,0.3,DHEC
CW-234,7/18/2001,12:00:00 PM,mg/L,0.08,0.3,DHEC
CW-206,10/24/2001,11:25:00 AM,mg/L,0.055,0.3,DHEC
RS-01046,8/9/2001,11:05:00 AM,mg/L,0.12,0.3,DHEC
CW-021,8/9/2001,12:25:00 PM,mg/L,0.12,0.3,DHEC
CW-014,9/11/2001,2:20:00 PM,mg/L,0.17,0.3,DHEC
CW-021,10/15/2001,10:45:00 AM,mg/L,0.06,0.3,DHEC
CL-089,8/15/2001,11:00:00 AM,mg/L,0.12,0.3,DHEC
CW-222,6/27/2001,10:35:00 AM,mg/L,0.097,0.3,DHEC
CW-016,7/19/2001,1:45:00 PM,mg/L,0.081,0.3,DHEC
CW-234,11/6/2001,1:30:00 PM,mg/L,0.068,0.3,DHEC
CW-083,7/16/2001,11:00:00 AM,mg/L,0.15,0.3,DHEC
CW-236,9/17/2001,11:25:00 AM,mg/L,0.093,0.3,DHEC
CW-225,11/13/2001,10:56:00 AM,mg/L,0.059,0.3,DHEC
RL-01007,11/29/2001,11:00:00 AM,mg/L,0.071,0.3,DHEC
CW-237,10/18/2001,9:35:00 AM,mg/L,0.059,0.3,DHEC
CW-016,9/19/2001,1:30:00 PM,mg/L,0.081,0.3,DHEC
CW-016,11/1/2001,2:45:00 PM,mg/L,0.071,0.3,DHEC
CW-250,10/24/2001,10:55:00 AM,mg/L,0.05,0.3,DHEC
RL-01007,7/26/2001,10:15:00 AM,mg/L,0.11,0.3,DHEC
CW-236,8/1/2001,10:50:00 AM,mg/L,0.1,0.3,DHEC
CW-234,8/1/2001,11:30:00 AM,mg/L,0.066,0.3,DHEC
RL-01017,9/6/2001,10:35:00 AM,mg/L,0.19,0.3,DHEC
CW-145,5/29/2001,2:15:00 PM,mg/L,0.09,0.3,DHEC
CW-238,8/9/2001,10:35:00 AM,mg/L,0.12,0.3,DHEC
CW-036,11/6/2001,11:05:00 AM,mg/L,0.065,0.3,DHEC
CW-234,9/17/2001,12:10:00 PM,mg/L,0.077,0.3,DHEC
RS-01046,10/29/2001,11:45:00 AM,mg/L,0.083,0.3,DHEC
CW-206,6/27/2001,10:00:00 AM,mg/L,0.068,0.3,DHEC
CW-080,6/21/2001,9:25:00 AM,mg/L,0.088,0.3,DHEC
CW-225,7/10/2001,10:15:00 AM,mg/L,0.11,0.3,DHEC
CW-206,2/13/2002,11:45:00 AM,mg/L,0.086,0.3,DHEC
CW-222,9/19/2002,12:15:00 PM,mg/L,0.14,0.3,DHEC
CW-154,11/18/2002,1:45:00 PM,mg/L,0.054,0.3,DHEC
CW-006,10/23/2002,10:30:00 AM,mg/L,0.08,0.3,DHEC
CW-227,6/25/2002,2:55:00 PM,mg/L,0.067,0.3,DHEC
CW-166,8/13/2002,9:10:00 AM,mg/L,0.091,0.3,DHEC
CW-174,5/1/2002,11:00:00 AM,mg/L,0.06,0.3,DHEC
CW-238,12/5/2002,1:05:00 PM,mg/L,0.22,0.3,DHEC
CW-236,1/8/2002,12:00:00 PM,mg/L,0.066,0.3,DHEC
CW-175,7/2/2002,10:30:00 AM,mg/L,0.22,0.3,DHEC
CW-235,1/8/2002,10:50:00 AM,mg/L,0.061,0.3,DHEC
CW-019,1/29/2002,2:00:00 PM,mg/L,0.15,0.3,DHEC
CW-019,7/22/2002,1:45:00 PM,mg/L,0.057,0.3,DHEC
CW-185,6/25/2002,1:00:00 PM,mg/L,0.29,0.3,DHEC
CW-017,4/29/2002,12:00:00 AM,mg/L,0.35,0.3,DHEC
CW-240,10/15/2002,8:35:00 AM,mg/L,0.17,0.3,DHEC
CW-009,6/26/2002,1:20:00 PM,mg/L,0.1,0.3,DHEC
CW-006,1/23/2002,11:00:00 AM,mg/L,0.12,0.3,DHEC
CW-002,3/13/2002,1:10:00 PM,mg/L,0.4,0.3,DHEC
CW-206,10/15/2002,8:55:00 AM,mg/L,0.2,0.3,DHEC
CW-033,10/31/2002,12:20:00 PM,mg/L,0.18,0.3,DHEC
CW-033,1/31/2002,1:00:00 PM,mg/L,0.14,0.3,DHEC
CW-080,2/19/2002,1:10:00 PM,mg/L,0.067,0.3,DHEC
CW-006,12/11/2002,11:25:00 AM,mg/L,0.11,0.3,DHEC
CW-008,9/3/2002,12:30:00 PM,mg/L,0.093,0.3,DHEC
CW-235,11/12/2002,10:30:00 AM,mg/L,0.1,0.3,DHEC
CW-212,10/23/2002,11:20:00 AM,mg/L,0.21,0.3,DHEC
CW-151,1/22/2002,11:10:00 AM,mg/L,0.11,0.3,DHEC
CW-016,12/17/2002,11:00:00 AM,mg/L,0.16,0.3,DHEC
CW-223,1/29/2002,1:00:00 PM,mg/L,0.064,0.3,DHEC
CW-221,5/23/2002,12:40:00 PM,mg/L,0.052,0.3,DHEC
CW-008,11/7/2002,2:15:00 PM,mg/L,0.083,0.3,DHEC
CW-232,10/16/2002,10:20:00 AM,mg/L,0.12,0.3,DHEC
CW-223,9/26/2002,12:30:00 PM,mg/L,0.064,0.3,DHEC
CW-228,10/24/2002,10:55:00 AM,mg/L,0.077,0.3,DHEC
CW-174,1/10/2002,1:50:00 PM,mg/L,0.15,0.3,DHEC
CW-206,12/16/2002,12:00:00 PM,mg/L,0.067,0.3,DHEC
CW-221,1/10/2002,12:15:00 PM,mg/L,0.062,0.3,DHEC
CW-064,4/30/2002,11:10:00 AM,mg/L,0.12,0.3,DHEC
CW-016F,1/31/2002,11:05:00 AM,mg/L,0.11,0.3,DHEC
RL-02319,1/31/2002,1:40:00 PM,mg/L,0.12,0.3,DHEC
CW-029,2/6/2002,11:00:00 AM,mg/L,0.069,0.3,DHEC
CW-155,1/29/2002,1:45:00 PM,mg/L,0.16,0.3,DHEC
CW-236,11/12/2002,11:10:00 AM,mg/L,0.069,0.3,DHEC
CW-240,12/18/2002,9:30:00 AM,mg/L,0.06,0.3,DHEC
CW-083,12/10/2002,2:20:00 PM,mg/L,0.071,0.3,DHEC
CW-224,1/23/2002,10:25:00 AM,mg/L,0.13,0.3,DHEC
CW-033,4/25/2002,12:55:00 PM,mg/L,0.12,0.3,DHEC
CW-208,1/10/2002,11:15:00 AM,mg/L,0.085,0.3,DHEC
CW-016F,4/25/2002,11:10:00 AM,mg/L,0.092,0.3,DHEC
CW-145,2/27/2002,2:00:00 PM,mg/L,0.068,0.3,DHEC
CW-019,9/26/2002,1:40:00 PM,mg/L,0.084,0.3,DHEC
CW-016,8/22/2002,11:00:00 AM,mg/L,0.12,0.3,DHEC
CL-078,3/7/2002,2:30:00 PM,mg/L,0.075,0.3,DHEC
CW-203,1/16/2002,11:55:00 AM,mg/L,0.074,0.3,DHEC
CW-232,6/25/2002,10:55:00 AM,mg/L,0.34,0.3,DHEC
CW-008,7/2/2002,12:00:00 PM,mg/L,0.071,0.3,DHEC
CW-207,7/2/2002,11:10:00 AM,mg/L,0.057,0.3,DHEC
CW-064,10/9/2002,1:45:00 PM,mg/L,0.18,0.3,DHEC
CW-240,6/5/2002,9:00:00 AM,mg/L,0.051,0.3,DHEC
CW-175,9/3/2002,10:20:00 AM,mg/L,0.15,0.3,DHEC
CW-006,6/5/2002,11:45:00 AM,mg/L,0.076,0.3,DHEC
CW-222,11/25/2002,11:10:00 AM,mg/L,0.073,0.3,DHEC
CW-096,4/3/2002,11:00:00 AM,mg/L,0.099,0.3,DHEC
RS-02321,8/21/2002,1:35:00 PM,mg/L,0.052,0.3,DHEC
CW-154,5/22/2002,1:45:00 PM,mg/L,0.05,0.3,DHEC
CW-002,7/2/2002,12:50:00 PM,mg/L,0.059,0.3,DHEC
CW-154,1/29/2002,1:30:00 PM,mg/L,0.055,0.3,DHEC
CW-008,1/8/2002,1:30:00 PM,mg/L,0.12,0.3,DHEC
CW-002,11/7/2002,10:15:00 AM,mg/L,0.051,0.3,DHEC
CW-057,10/31/2002,11:05:00 AM,mg/L,0.2,0.3,DHEC
CW-209,1/10/2002,10:10:00 AM,mg/L,0.051,0.3,DHEC
CW-224,4/3/2002,10:45:00 AM,mg/L,0.06,0.3,DHEC
CW-047,12/10/2002,11:10:00 AM,mg/L,0.064,0.3,DHEC
CW-225,6/5/2002,11:30:00 AM,mg/L,0.093,0.3,DHEC
CW-011,4/30/2002,1:10:00 PM,mg/L,0.07,0.3,DHEC
CW-016F,12/17/2002,11:15:00 AM,mg/L,0.14,0.3,DHEC
CW-203,8/21/2002,1:10:00 PM,mg/L,0.053,0.3,DHEC
CW-005,10/23/2002,11:00:00 AM,mg/L,0.14,0.3,DHEC
RL-02452,1/31/2002,1:30:00 PM,mg/L,0.086,0.3,DHEC
CW-155,9/26/2002,1:20:00 PM,mg/L,0.061,0.3,DHEC
CW-014,4/30/2002,1:40:00 PM,mg/L,0.1,0.3,DHEC
CW-083,2/27/2002,1:00:00 PM,mg/L,0.068,0.3,DHEC
CW-145,10/16/2002,2:20:00 PM,mg/L,0.22,0.3,DHEC
