StationID,ActivityStartDate,ActivityStartTime/Time,Conductivity_units,Conductivity,Depth_m,Source
CW-016,2/4/1999,2:38:00 PM,umho/cm,100,0.3,DHEC
CW-206,12/29/1999,9:30:00 AM,umho/cm,178.1,0.3,DHEC
CW-222,3/25/1999,10:15:00 AM,umho/cm,118.7,0.3,DHEC
CW-206,8/5/1999,9:15:00 AM,umho/cm,195,0.3,DHEC
CW-016,5/20/1999,1:45:00 PM,umho/cm,210,0.3,DHEC
CW-206,3/25/1999,9:30:00 AM,umho/cm,926,0.3,DHEC
CW-222,9/9/1999,10:30:00 AM,umho/cm,261,0.3,DHEC
CW-016,7/1/1999,2:50:00 PM,umho/cm,160,0.3,DHEC
CW-206,1/14/1999,11:45:00 AM,umho/cm,120,0.3,DHEC
CW-222,5/13/1999,10:45:00 AM,umho/cm,141.3,0.3,DHEC
CW-016,1/7/1999,2:13:00 PM,umho/cm,140,0.3,DHEC
CW-016,6/2/1999,2:35:00 PM,umho/cm,170,0.3,DHEC
CW-222,10/14/1999,10:15:00 AM,umho/cm,207.9,0.3,DHEC
CW-206,2/25/1999,9:50:00 AM,umho/cm,89,0.3,DHEC
CW-016,11/4/1999,2:20:00 PM,umho/cm,250,0.3,DHEC
CW-206,10/14/1999,9:25:00 AM,umho/cm,144.4,0.3,DHEC
CW-222,4/8/1999,10:30:00 AM,umho/cm,153.5,0.3,DHEC
CW-016,9/1/1999,3:15:00 PM,umho/cm,250,0.3,DHEC
CW-206,4/8/1999,9:30:00 AM,umho/cm,107,0.3,DHEC
CW-016,3/18/1999,3:40:00 PM,umho/cm,130,0.3,DHEC
CW-016,10/27/1999,2:30:00 PM,umho/cm,240,0.3,DHEC
CW-222,7/15/1999,10:40:00 AM,umho/cm,205.4,0.3,DHEC
CW-222,11/29/1999,11:15:00 AM,umho/cm,265.3,0.3,DHEC
CW-016,4/5/1999,3:00:00 PM,umho/cm,140,0.3,DHEC
CW-206,5/13/1999,9:45:00 AM,umho/cm,142.2,0.3,DHEC
CW-206,9/9/1999,9:40:00 AM,umho/cm,190,0.3,DHEC
CW-016,8/3/1999,11:15:00 AM,umho/cm,260,0.3,DHEC
CW-222,12/29/1999,10:25:00 AM,umho/cm,250.8,0.3,DHEC
CW-206,11/29/1999,10:15:00 AM,umho/cm,154.7,0.3,DHEC
CW-222,1/21/1999,10:00:00 AM,umho/cm,120,0.3,DHEC
CW-222,8/5/1999,10:00:00 AM,umho/cm,255.9,0.3,DHEC
CW-206,7/6/2000,9:55:00 AM,umho/cm,159.5,0.3,DHEC
CW-222,11/16/2000,11:15:00 AM,umho/cm,257.8,0.3,DHEC
CW-222,3/23/2000,10:30:00 AM,umho/cm,181.6,0.3,DHEC
CW-222,6/6/2000,10:40:00 AM,umho/cm,230.1,0.3,DHEC
CW-016,1/14/2000,2:38:00 PM,umho/cm,100,0.3,DHEC
CW-206,10/25/2000,12:20:00 PM,umho/cm,146.3,0.3,DHEC
