StationID,ActivityStartDate,ActivityStartTime/Time,NitrateNitrite_units,NitrateNitrite,Depth_m,Source
CW-005,1/25/1999,11:45:00 AM,mg/L,0.2,0.3,DHEC
CW-185,9/23/1999,2:35:00 PM,mg/L,0.29,0.3,DHEC
CW-014,4/22/1999,11:15:00 AM,mg/L,0.24,0.3,DHEC
CW-057,2/4/1999,2:02:00 PM,mg/L,0.42,0.3,DHEC
CW-174,8/12/1999,10:00:00 AM,mg/L,0.37,0.3,DHEC
CW-207,10/21/1999,11:20:00 AM,mg/L,0.26,0.3,DHEC
CW-096,8/17/1999,12:50:00 PM,mg/L,0.08,0.3,DHEC
CW-014,1/21/1999,1:20:00 PM,mg/L,0.38,0.3,DHEC
CW-206,10/14/1999,9:25:00 AM,mg/L,0.17,0.3,DHEC
CW-176,4/22/1999,10:20:00 AM,mg/L,1.17,0.3,DHEC
CW-005,9/27/1999,12:40:00 PM,mg/L,3.4,0.3,DHEC
CW-041,4/5/1999,1:30:00 PM,mg/L,0.51,0.3,DHEC
CW-013,8/16/1999,10:30:00 AM,mg/L,4.4,0.3,DHEC
CW-225,5/12/1999,12:25:00 PM,mg/L,1.81,0.3,DHEC
CW-016F,9/1/1999,2:50:00 PM,mg/L,0.91,0.3,DHEC
CW-016F,11/4/1999,2:05:00 PM,mg/L,0.67,0.3,DHEC
CW-016F,4/5/1999,2:45:00 PM,mg/L,0.71,0.3,DHEC
CW-209,9/2/1999,10:35:00 AM,mg/L,0.12,0.3,DHEC
CW-207,2/11/1999,11:30:00 AM,mg/L,0.39,0.3,DHEC
CW-013,7/15/1999,11:00:00 AM,mg/L,4.3,0.3,DHEC
CW-041,10/27/1999,1:05:00 PM,mg/L,0.92,0.3,DHEC
CW-155,9/14/1999,2:00:00 PM,mg/L,0.16,0.3,DHEC
CW-223,7/26/1999,11:45:00 AM,mg/L,0.12,0.3,DHEC
CW-029,8/16/1999,12:50:00 PM,mg/L,0.11,0.3,DHEC
CW-013,12/28/1999,11:30:00 AM,mg/L,6.2,0.3,DHEC
CW-057,11/4/1999,1:50:00 PM,mg/L,0.72,0.3,DHEC
CW-014,9/23/1999,12:30:00 PM,mg/L,0.1,0.3,DHEC
CW-176,10/20/1999,12:50:00 PM,mg/L,0.21,0.3,DHEC
CW-154,8/24/1999,11:15:00 AM,mg/L,0.15,0.3,DHEC
CW-014,3/25/1999,1:25:00 PM,mg/L,0.3,0.3,DHEC
CW-209,6/2/1999,10:25:00 AM,mg/L,0.02,0.3,DHEC
CW-154,5/4/1999,1:45:00 PM,mg/L,0.22,0.3,DHEC
CW-154,9/14/1999,1:44:00 PM,mg/L,0.36,0.3,DHEC
CW-014,11/23/1999,10:15:00 AM,mg/L,0.21,0.3,DHEC
CW-223,10/6/1999,2:40:00 PM,mg/L,0.31,0.3,DHEC
CW-006,9/28/1999,12:45:00 PM,mg/L,0.13,0.3,DHEC
CW-222,11/29/1999,11:15:00 AM,mg/L,0.46,0.3,DHEC
CW-002,3/22/1999,10:20:00 AM,mg/L,0.15,0.3,DHEC
CW-224,10/20/1999,11:05:00 AM,mg/L,1.3,0.3,DHEC
CW-221,5/3/1999,10:40:00 AM,mg/L,0.21,0.3,DHEC
CW-208,11/4/1999,10:05:00 AM,mg/L,0.31,0.3,DHEC
CW-029,6/22/1999,1:50:00 PM,mg/L,0.21,0.3,DHEC
CW-013,10/19/1999,1:15:00 PM,mg/L,5,0.3,DHEC
CW-041,5/20/1999,12:00:00 PM,mg/L,0.7,0.3,DHEC
CW-013,3/25/1999,11:20:00 AM,mg/L,4.5,0.3,DHEC
CW-206,11/29/1999,10:15:00 AM,mg/L,0.3,0.3,DHEC
CW-225,6/21/1999,1:30:00 PM,mg/L,2,0.3,DHEC
CW-036,8/19/1999,11:15:00 AM,mg/L,6.5,0.3,DHEC
CW-223,6/14/1999,1:50:00 PM,mg/L,0.15,0.3,DHEC
CW-155,1/14/1999,2:50:00 PM,mg/L,0.22,0.3,DHEC
CW-208,2/11/1999,12:00:00 PM,mg/L,0.38,0.3,DHEC
CW-212,5/27/1999,12:15:00 PM,mg/L,0.4,0.3,DHEC
CW-013,1/21/1999,11:45:00 AM,mg/L,3.3,0.3,DHEC
CW-223,9/14/1999,12:50:00 PM,mg/L,0.13,0.3,DHEC
CW-057,1/7/1999,1:41:00 PM,mg/L,0.52,0.3,DHEC
CW-209,4/29/1999,11:00:00 AM,mg/L,0.2,0.3,DHEC
CW-029,7/15/1999,2:00:00 PM,mg/L,0.2,0.3,DHEC
CW-014,2/18/1999,10:00:00 AM,mg/L,0.25,0.3,DHEC
CW-222,7/15/1999,10:40:00 AM,mg/L,0.25,0.3,DHEC
CW-212,6/22/1999,1:20:00 PM,mg/L,0.3,0.3,DHEC
CW-131,5/10/1999,1:27:00 PM,mg/L,0.21,0.3,DHEC
CW-206,9/9/1999,9:40:00 AM,mg/L,0.23,0.3,DHEC
CW-222,1/21/1999,10:00:00 AM,mg/L,0.51,0.3,DHEC
CW-057,10/27/1999,1:55:00 PM,mg/L,0.77,0.3,DHEC
CW-227,7/12/1999,2:45:00 PM,mg/L,0.06,0.3,DHEC
CW-011,10/19/1999,1:00:00 PM,mg/L,0.08,0.3,DHEC
CW-207,11/4/1999,9:45:00 AM,mg/L,0.28,0.3,DHEC
CW-040,7/6/1999,10:55:00 AM,mg/L,0.03,0.3,DHEC
CW-002,10/20/1999,10:15:00 AM,mg/L,6,0.3,DHEC
CW-221,6/15/1999,10:55:00 AM,mg/L,0.19,0.3,DHEC
CW-080,10/21/1999,1:20:00 PM,mg/L,0.09,0.3,DHEC
CW-227,6/15/1999,11:45:00 AM,mg/L,0.08,0.3,DHEC
CW-175,10/18/1999,10:15:00 AM,mg/L,0.34,0.3,DHEC
CW-016,12/29/1999,2:00:00 PM,mg/L,0.92,0.3,DHEC
CW-057,3/18/1999,2:50:00 PM,mg/L,0.67,0.3,DHEC
CW-083,7/20/1999,10:00:00 AM,mg/L,0.18,0.3,DHEC
CW-222,4/8/1999,10:30:00 AM,mg/L,0.46,0.3,DHEC
CW-013,2/16/1999,2:10:00 PM,mg/L,0.2,0.3,DHEC
CW-014,6/15/1999,10:30:00 AM,mg/L,0.2,0.3,DHEC
CW-006,10/20/1999,11:50:00 AM,mg/L,0.68,0.3,DHEC
CW-080,8/19/1999,12:30:00 PM,mg/L,0.12,0.3,DHEC
CW-002,11/22/1999,10:45:00 AM,mg/L,4.4,0.3,DHEC
CW-228,7/8/1999,12:25:00 PM,mg/L,0.1,0.3,DHEC
CW-041,8/3/1999,9:40:00 AM,mg/L,0.48,0.3,DHEC
CW-223,5/4/1999,12:50:00 PM,mg/L,0.14,0.3,DHEC
CW-174,10/18/1999,10:05:00 AM,mg/L,0.7,0.3,DHEC
CW-176,11/23/1999,10:45:00 AM,mg/L,0.06,0.3,DHEC
CW-008,11/22/1999,10:20:00 AM,mg/L,0.09,0.3,DHEC
CW-008,6/23/1999,3:00:00 PM,mg/L,0.73,0.3,DHEC
CW-228,5/6/1999,10:10:00 AM,mg/L,0.06,0.3,DHEC
CW-016,10/27/1999,2:30:00 PM,mg/L,0.66,0.3,DHEC
CW-208,6/2/1999,11:30:00 AM,mg/L,0.04,0.3,DHEC
CW-005,2/16/1999,11:05:00 AM,mg/L,1.05,0.3,DHEC
CW-225,10/20/1999,11:35:00 AM,mg/L,1.96,0.3,DHEC
CW-057,4/5/1999,2:25:00 PM,mg/L,0.52,0.3,DHEC
CW-014,7/13/1999,10:30:00 AM,mg/L,0.14,0.3,DHEC
CW-227,9/23/1999,11:05:00 AM,mg/L,0.31,0.3,DHEC
CW-005,4/8/1999,11:15:00 AM,mg/L,1.07,0.3,DHEC
CW-011,5/27/1999,10:30:00 AM,mg/L,0.44,0.3,DHEC
CW-064,7/20/1999,10:30:00 AM,mg/L,3,0.3,DHEC
CW-009,10/19/1999,12:40:00 PM,mg/L,0.07,0.3,DHEC
CW-228,9/2/1999,9:40:00 AM,mg/L,0.08,0.3,DHEC
CW-002,2/16/1999,10:30:00 AM,mg/L,1.35,0.3,DHEC
CW-131,6/9/1999,10:25:00 AM,mg/L,0.23,0.3,DHEC
CW-228,8/19/1999,9:20:00 AM,mg/L,0.14,0.3,DHEC
CW-016F,5/20/1999,1:30:00 PM,mg/L,0.76,0.3,DHEC
CW-088,5/3/1999,12:00:00 PM,mg/L,0.89,0.3,DHEC
CW-229,6/2/1999,1:10:00 PM,mg/L,0.04,0.3,DHEC
CW-016F,8/3/1999,11:05:00 AM,mg/L,0.64,0.3,DHEC
CW-013,9/29/1999,10:15:00 AM,mg/L,3.2,0.3,DHEC
CW-006,5/12/1999,11:25:00 AM,mg/L,0.64,0.3,DHEC
CW-176,1/21/1999,10:45:00 AM,mg/L,0.39,0.3,DHEC
CW-019,5/4/1999,2:05:00 PM,mg/L,0.25,0.3,DHEC
CW-227,5/3/1999,11:15:00 AM,mg/L,0.19,0.3,DHEC
CW-224,8/17/1999,1:20:00 PM,mg/L,3.8,0.3,DHEC
CW-206,7/15/1999,9:45:00 AM,mg/L,0.16,0.3,DHEC
CW-131,7/20/1999,2:50:00 PM,mg/L,0.44,0.3,DHEC
CW-224,9/28/1999,1:30:00 PM,mg/L,1.28,0.3,DHEC
CW-225,7/22/1999,11:25:00 AM,mg/L,2.1,0.3,DHEC
CW-206,2/25/1999,9:50:00 AM,mg/L,0.38,0.3,DHEC
CW-009,7/15/1999,11:35:00 AM,mg/L,0.1,0.3,DHEC
CW-228,6/2/1999,12:45:00 PM,mg/L,0.1,0.3,DHEC
CW-209,12/28/1999,10:55:00 AM,mg/L,0.38,0.3,DHEC
CW-016F,3/18/1999,3:15:00 PM,mg/L,0.53,0.3,DHEC
CW-005,5/11/1999,10:45:00 AM,mg/L,1.09,0.3,DHEC
CW-036,5/10/1999,10:50:00 AM,mg/L,5.2,0.3,DHEC
CW-088,10/18/1999,10:55:00 AM,mg/L,0.19,0.3,DHEC
CW-208,4/29/1999,11:50:00 AM,mg/L,0.23,0.3,DHEC
CW-008,8/9/1999,10:05:00 AM,mg/L,0.63,0.3,DHEC
CW-036,9/23/1999,1:30:00 PM,mg/L,3.6,0.3,DHEC
CW-014,10/18/1999,12:55:00 PM,mg/L,0.12,0.3,DHEC
CW-227,8/12/1999,10:45:00 AM,mg/L,0.04,0.3,DHEC
CW-041,7/1/1999,1:10:00 PM,mg/L,0.74,0.3,DHEC
CW-017,10/28/1999,10:00:00 AM,mg/L,0.06,0.3,DHEC
CW-176,7/22/1999,2:00:00 PM,mg/L,1.8,0.3,DHEC
CW-008,10/20/1999,9:50:00 AM,mg/L,0.72,0.3,DHEC
CW-029,11/22/1999,12:45:00 PM,mg/L,0.02,0.3,DHEC
CW-222,8/5/1999,10:00:00 AM,mg/L,0.23,0.3,DHEC
CW-222,5/13/1999,10:45:00 AM,mg/L,0.35,0.3,DHEC
CW-209,11/4/1999,9:25:00 AM,mg/L,0.21,0.3,DHEC
CW-209,5/6/1999,11:15:00 AM,mg/L,0.1,0.3,DHEC
CW-185,5/10/1999,12:50:00 PM,mg/L,0.23,0.3,DHEC
CW-029,10/19/1999,11:05:00 AM,mg/L,0.1,0.3,DHEC
CW-174,7/14/1999,2:25:00 PM,mg/L,0.34,0.3,DHEC
CW-029,3/22/1999,12:30:00 PM,mg/L,0.15,0.3,DHEC
CW-036,10/28/1999,11:35:00 AM,mg/L,5.1,0.3,DHEC
CW-221,10/18/1999,1:10:00 PM,mg/L,0.05,0.3,DHEC
CW-006,8/17/1999,11:10:00 AM,mg/L,0.15,0.3,DHEC
CW-154,6/14/1999,2:30:00 PM,mg/L,0.43,0.3,DHEC
CW-002,5/18/1999,10:10:00 AM,mg/L,0.09,0.3,DHEC
CW-175,6/15/1999,1:45:00 PM,mg/L,0.17,0.3,DHEC
CW-064,9/23/1999,1:05:00 PM,mg/L,6.7,0.3,DHEC
CW-047,7/20/1999,11:55:00 AM,mg/L,0.08,0.3,DHEC
CW-206,12/29/1999,9:30:00 AM,mg/L,0.28,0.3,DHEC
CW-008,5/18/1999,9:45:00 AM,mg/L,0.55,0.3,DHEC
CW-047,8/19/1999,11:05:00 AM,mg/L,0.04,0.3,DHEC
CW-016F,1/7/1999,2:00:00 PM,mg/L,0.5,0.3,DHEC
CW-154,10/6/1999,1:50:00 PM,mg/L,0.17,0.3,DHEC
CW-029,4/8/1999,12:20:00 PM,mg/L,0.14,0.3,DHEC
CW-009,9/29/1999,11:10:00 AM,mg/L,0.13,0.3,DHEC
CW-029,1/25/1999,12:05:00 PM,mg/L,0.19,0.3,DHEC
CW-040,5/27/1999,10:35:00 AM,mg/L,0.06,0.3,DHEC
CW-005,7/15/1999,2:20:00 PM,mg/L,2.22,0.3,DHEC
CW-221,7/13/1999,10:45:00 AM,mg/L,0.34,0.3,DHEC
CW-008,3/22/1999,10:00:00 AM,mg/L,0.16,0.3,DHEC
CW-006,6/21/1999,1:05:00 PM,mg/L,0.54,0.3,DHEC
CW-019,9/14/1999,2:25:00 PM,mg/L,0.23,0.3,DHEC
CW-223,8/24/1999,12:10:00 PM,mg/L,0.24,0.3,DHEC
CW-096,7/22/1999,12:45:00 PM,mg/L,0.13,0.3,DHEC
CW-002,12/9/1999,10:40:00 AM,mg/L,2.8,0.3,DHEC
CW-207,9/2/1999,11:00:00 AM,mg/L,0.05,0.3,DHEC
CW-222,10/14/1999,10:15:00 AM,mg/L,0.31,0.3,DHEC
