StationID,ActivityStartDate,ActivityStartTime/Time,organic_carbon_units,organic_carbon,Depth_m,Source
CW-206,8/27/2001,9:35:00 AM,mg/L,4.2,0.3,DHEC
CW-036,6/25/2001,11:55:00 AM,mg/L,6.5,0.3,DHEC
CL-089,8/15/2001,11:00:00 AM,mg/L,5.3,0.3,DHEC
RL-01007,12/11/2001,10:25:00 AM,mg/L,5.9,0.3,DHEC
RS-01007,6/27/2001,10:20:00 AM,mg/L,3.1,0.3,DHEC
CW-057,6/28/2001,9:20:00 AM,mg/L,5.2,0.3,DHEC
CW-016,6/28/2001,8:50:00 AM,mg/L,5.5,0.3,DHEC
RL-01017,12/11/2001,10:35:00 AM,mg/L,5.9,0.3,DHEC
CW-057,9/19/2001,2:00:00 PM,mg/L,5,0.3,DHEC
CW-166,8/9/2001,12:40:00 PM,mg/L,6.6,0.3,DHEC
RL-01003,12/11/2001,11:45:00 AM,mg/L,5.4,0.3,DHEC
CW-222,5/30/2001,10:00:00 AM,mg/L,5.1,0.3,DHEC
RL-01017,6/28/2001,11:10:00 AM,mg/L,5.4,0.3,DHEC
CL-089,11/14/2001,10:10:00 AM,mg/L,5.2,0.3,DHEC
CW-041,6/15/2001,1:05:00 PM,mg/L,5,0.3,DHEC
RL-01003,6/28/2001,12:30:00 PM,mg/L,5,0.3,DHEC
CW-250,5/30/2001,8:55:00 AM,mg/L,5.4,0.3,DHEC
CW-145,6/25/2001,2:05:00 PM,mg/L,4.6,0.3,DHEC
CW-083,12/13/2001,10:15:00 AM,mg/L,7.8,0.3,DHEC
RL-01033,9/6/2001,11:55:00 AM,mg/L,5.4,0.3,DHEC
CW-250,11/29/2001,8:00:00 AM,mg/L,3.6,0.3,DHEC
CW-017,12/13/2001,9:40:00 AM,mg/L,7.9,0.3,DHEC
CW-233,6/18/2001,1:55:00 PM,mg/L,5.3,0.3,DHEC
CW-235,12/13/2001,10:00:00 AM,mg/L,11,0.3,DHEC
CW-238,11/14/2001,9:15:00 AM,mg/L,7.4,0.3,DHEC
CW-237,11/14/2001,9:05:00 AM,mg/L,6.2,0.3,DHEC
CW-206,5/30/2001,9:25:00 AM,mg/L,4.4,0.3,DHEC
CW-083,6/25/2001,1:45:00 PM,mg/L,6.5,0.3,DHEC
CW-225,9/11/2001,10:35:00 AM,mg/L,5.3,0.3,DHEC
RL-01012,9/19/2001,1:45:00 PM,mg/L,5.2,0.3,DHEC
CW-041,12/10/2001,12:45:00 PM,mg/L,3,0.3,DHEC
CW-222,8/27/2001,10:35:00 AM,mg/L,5.4,0.3,DHEC
CW-014,6/27/2001,11:30:00 AM,mg/L,2.6,0.3,DHEC
CW-237,8/15/2001,9:25:00 AM,mg/L,5.5,0.3,DHEC
CW-236,6/18/2001,1:20:00 PM,mg/L,6.5,0.3,DHEC
CW-016,9/19/2001,1:30:00 PM,mg/L,5.2,0.3,DHEC
RL-01033,6/28/2001,12:45:00 PM,mg/L,4.7,0.3,DHEC
CW-021,11/14/2001,8:55:00 AM,mg/L,3.8,0.3,DHEC
CW-080,11/14/2001,9:25:00 AM,mg/L,5.3,0.3,DHEC
CW-225,6/27/2001,10:55:00 AM,mg/L,3.7,0.3,DHEC
CW-233,12/13/2001,11:30:00 AM,mg/L,4.4,0.3,DHEC
CW-222,11/29/2001,9:30:00 AM,mg/L,6.4,0.3,DHEC
CW-236,9/17/2001,11:25:00 AM,mg/L,3.4,0.3,DHEC
CW-080,8/15/2001,9:50:00 AM,mg/L,5.8,0.3,DHEC
CW-250,8/27/2001,9:15:00 AM,mg/L,3.3,0.3,DHEC
RS-01007,12/12/2001,10:30:00 AM,mg/L,5.2,0.3,DHEC
CW-231,9/6/2001,10:50:00 AM,mg/L,5.5,0.3,DHEC
CW-225,12/12/2001,11:00:00 AM,mg/L,4.8,0.3,DHEC
RL-01033,12/11/2001,12:15:00 PM,mg/L,6.4,0.3,DHEC
CW-083,9/25/2001,10:55:00 AM,mg/L,11,0.3,DHEC
CW-036,12/13/2001,10:40:00 AM,mg/L,6.7,0.3,DHEC
RL-01017,9/6/2001,10:35:00 AM,mg/L,2.3,0.3,DHEC
RL-01003,9/6/2001,11:40:00 AM,mg/L,5.4,0.3,DHEC
CW-145,12/13/2001,9:55:00 AM,mg/L,5,0.3,DHEC
CW-166,11/14/2001,8:25:00 AM,mg/L,4,0.3,DHEC
CW-206,11/29/2001,8:30:00 AM,mg/L,4.4,0.3,DHEC
CW-231,12/11/2001,11:00:00 AM,mg/L,5.7,0.3,DHEC
RS-01046,8/9/2001,11:05:00 AM,mg/L,4.8,0.3,DHEC
CW-014,12/12/2001,11:40:00 AM,mg/L,2.4,0.3,DHEC
CW-231,6/28/2001,11:35:00 AM,mg/L,4.7,0.3,DHEC
CW-016,12/10/2001,1:20:00 PM,mg/L,6.1,0.3,DHEC
RL-01007,9/6/2001,10:20:00 AM,mg/L,6,0.3,DHEC
CW-236,12/13/2001,10:45:00 AM,mg/L,3.7,0.3,DHEC
CW-234,6/18/2001,2:25:00 PM,mg/L,5.4,0.3,DHEC
RS-01046,5/17/2001,10:45:00 AM,mg/L,7.3,0.3,DHEC
CW-233,9/17/2001,11:45:00 AM,mg/L,4.1,0.3,DHEC
CW-021,8/9/2001,12:25:00 PM,mg/L,4.6,0.3,DHEC
RL-01012,6/28/2001,9:05:00 AM,mg/L,5.6,0.3,DHEC
CW-145,9/25/2001,10:40:00 AM,mg/L,5.3,0.3,DHEC
RL-01007,6/28/2001,10:45:00 AM,mg/L,6,0.3,DHEC
RS-01046,11/13/2001,2:10:00 PM,mg/L,5.2,0.3,DHEC
CW-014,9/11/2001,2:20:00 PM,mg/L,3.8,0.3,DHEC
CW-017,6/18/2001,10:35:00 AM,mg/L,10,0.3,DHEC
CW-036,9/25/2001,11:15:00 AM,mg/L,6.2,0.3,DHEC
CW-041,9/19/2001,12:50:00 PM,mg/L,2.2,0.3,DHEC
CW-057,12/10/2001,1:55:00 PM,mg/L,6,0.3,DHEC
CW-235,6/18/2001,11:00:00 AM,mg/L,8.5,0.3,DHEC
CW-238,8/9/2001,10:35:00 AM,mg/L,7.6,0.3,DHEC
CW-235,9/17/2001,11:05:00 AM,mg/L,10,0.3,DHEC
CW-017,9/17/2001,10:30:00 AM,mg/L,7.9,0.3,DHEC
CW-234,9/17/2001,12:10:00 PM,mg/L,4.5,0.3,DHEC
CW-079,8/15/2001,10:20:00 AM,mg/L,5.6,0.3,DHEC
CW-041,12/12/2002,3:20:00 PM,mg/L,6.8,0.3,DHEC
CW-057,12/17/2002,11:35:00 AM,mg/L,7.1,0.3,DHEC
CW-232,9/19/2002,9:50:00 AM,mg/L,17,0.3,DHEC
CW-041,3/28/2002,2:15:00 PM,mg/L,4.7,0.3,DHEC
CW-228,5/28/2002,11:50:00 AM,mg/L,5.9,0.3,DHEC
CW-014,3/27/2002,2:15:00 PM,mg/L,3.1,0.3,DHEC
RL-02319,6/13/2002,2:00:00 PM,mg/L,6.1,0.3,DHEC
CW-209,5/2/2002,12:40:00 PM,mg/L,7.2,0.3,DHEC
CW-206,2/13/2002,11:45:00 AM,mg/L,5.6,0.3,DHEC
CW-208,5/6/2002,9:00:00 AM,mg/L,7,0.3,DHEC
CW-222,2/28/2002,11:15:00 AM,mg/L,6.3,0.3,DHEC
CW-185,12/10/2002,12:30:00 PM,mg/L,11,0.3,DHEC
RS-02321,5/28/2002,11:10:00 AM,mg/L,5.1,0.3,DHEC
RL-02319,3/14/2002,1:30:00 PM,mg/L,6,0.3,DHEC
CW-225,6/5/2002,11:30:00 AM,mg/L,5.1,0.3,DHEC
CW-176,9/19/2002,11:20:00 AM,mg/L,6.4,0.3,DHEC
CW-209,11/14/2002,11:20:00 AM,mg/L,6,0.3,DHEC
CW-175,3/13/2002,10:15:00 AM,mg/L,6.6,0.3,DHEC
CW-021,2/19/2002,9:55:00 AM,mg/L,3.6,0.3,DHEC
CL-021,3/21/2002,9:55:00 AM,mg/L,7.1,0.3,DHEC
CW-175,12/5/2002,1:35:00 PM,mg/L,4.4,0.3,DHEC
