StationID,ActivityStartDate,ActivityStartTime/Time,secchi_units,secchi,source
RL-11040,3/24/2011,11:15:00 AM,m,0.5,DHEC
CW-207,5/26/2011,10:50:00 AM,m,1,DHEC
CW-207,3/24/2011,10:35:00 AM,m,2,DHEC
CW-033,8/18/2011,12:00:00 PM,m,0.5,DHEC
RL-11040,5/26/2011,11:25:00 AM,m,0.5,DHEC
CL-089,5/26/2011,10:20:00 AM,m,1.1,DHEC
RL-11040,8/18/2011,10:45:00 AM,m,0.75,DHEC
CL-089,3/24/2011,9:55:00 AM,m,1,DHEC
CW-207,5/17/2012,11:10:00 AM,m,1,DHEC
CW-231,6/14/2012,11:35:00 AM,m,1,DHEC
CW-033,8/16/2012,11:30:00 AM,m,1,DHEC
RL-12125,8/16/2012,11:20:00 AM,m,1,DHEC
RL-12125,5/17/2012,12:40:00 PM,m,0.5,DHEC
CL-089,7/19/2012,11:50:00 AM,m,1.5,DHEC
CW-207,7/19/2012,12:15:00 PM,m,1,DHEC
RL-12056,6/14/2012,10:00:00 AM,m,1.5,DHEC
CL-089,5/17/2012,10:40:00 AM,m,1,DHEC
RL-12056,8/16/2012,10:20:00 AM,m,1,DHEC
RL-12125,7/19/2012,1:45:00 PM,m,0.75,DHEC
RL-12125,6/14/2012,11:00:00 AM,m,1.5,DHEC
RL-12056,7/19/2012,12:30:00 PM,m,0.75,DHEC
CW-033,6/14/2012,11:10:00 AM,m,1.5,DHEC
CL-089,7/18/2013,10:15:00 AM,m,2,DHEC
RL-13134,7/30/2013,10:31:00 AM,m,0.5,DHEC
RL-13084,1/17/2013,10:55:00 AM,m,1,DHEC
CW-016F,3/27/2013,11:00:00 AM,m,1,DHEC
CW-231,6/20/2013,12:00:00 PM,m,1.2,DHEC
RL-13134,6/20/2013,1:47:00 PM,m,1,DHEC
RL-13072,7/17/2013,12:11:00 PM,m,1.5,DHEC
CW-207,9/12/2013,11:55:00 AM,m,1.3,DHEC
RL-13072,8/21/2013,10:00:00 AM,m,0.5,DHEC
RL-13072,10/29/2013,1:00:00 PM,m,1.5,DHEC
RL-13072,6/20/2013,3:25:00 PM,m,1,DHEC
CW-016,7/17/2013,11:35:00 AM,m,1,DHEC
RL-13084,10/10/2013,10:40:00 AM,m,0.75,DHEC
CW-207,7/18/2013,11:50:00 AM,m,0.5,DHEC
CW-033,10/10/2013,12:45:00 PM,m,1,DHEC
CL-089,1/17/2013,10:15:00 AM,m,1.25,DHEC
CW-016F,7/17/2013,11:47:00 AM,m,1.5,DHEC
CW-207,1/17/2013,10:40:00 AM,m,1,DHEC
CW-057,7/17/2013,12:37:00 PM,m,1.5,DHEC
RL-13072,3/27/2013,11:15:00 AM,m,1,DHEC
CW-231,10/10/2013,12:15:00 PM,m,1,DHEC
CW-016,3/27/2013,10:46:00 AM,m,1,DHEC
RL-13084,6/20/2013,10:32:00 AM,m,1.2,DHEC
RL-13134,10/29/2013,10:53:00 AM,m,0.5,DHEC
RL-13084,9/12/2013,12:05:00 PM,m,1,DHEC
CW-057,3/27/2013,1:29:00 PM,m,1,DHEC
CW-033,6/20/2013,12:40:00 PM,m,1.03,DHEC
CL-089,9/12/2013,10:01:00 AM,m,2,DHEC
RL-13134,8/21/2013,11:07:00 AM,m,0.3,DHEC
CW-033,1/8/2014,1:11:00 PM,m,0.33,DHEC
